Epoch: [77/100], cls_loss: 0.3056, transfer_loss: 0.1509, kl_loss_src: 3595.2851, kl_loss_tar: 3392.7389, total_Loss: 0.3811, acc: 0.9598
Epoch: [78/100], cls_loss: 0.2519, transfer_loss: 0.1495, kl_loss_src: 3622.0846, kl_loss_tar: 3425.5385, total_Loss: 0.3267, acc: 0.9578
Epoch: [79/100], cls_loss: 0.2825, transfer_loss: 0.1480, kl_loss_src: 3663.2527, kl_loss_tar: 3421.2641, total_Loss: 0.3565, acc: 0.9518
Epoch: [80/100], cls_loss: 0.2562, transfer_loss: 0.1481, kl_loss_src: 3793.8787, kl_loss_tar: 3440.4653, total_Loss: 0.3303, acc: 0.9558
Epoch: [81/100], cls_loss: 0.2379, transfer_loss: 0.1461, kl_loss_src: 3712.6917, kl_loss_tar: 3483.8397, total_Loss: 0.3109, acc: 0.9578
Epoch: [82/100], cls_loss: 0.2086, transfer_loss: 0.1455, kl_loss_src: 3679.8724, kl_loss_tar: 3469.2191, total_Loss: 0.2814, acc: 0.9578
Epoch: [83/100], cls_loss: 0.2412, transfer_loss: 0.1419, kl_loss_src: 3761.0184, kl_loss_tar: 3491.4040, total_Loss: 0.3121, acc: 0.9538
Epoch: [84/100], cls_loss: 0.3057, transfer_loss: 0.1433, kl_loss_src: 3690.2687, kl_loss_tar: 3567.1689, total_Loss: 0.3773, acc: 0.9538
Epoch: [85/100], cls_loss: 0.2550, transfer_loss: 0.1420, kl_loss_src: 3736.5406, kl_loss_tar: 3591.9246, total_Loss: 0.3260, acc: 0.9578
Epoch: [86/100], cls_loss: 0.2035, transfer_loss: 0.1395, kl_loss_src: 3719.7746, kl_loss_tar: 3537.9153, total_Loss: 0.2733, acc: 0.9578
Epoch: [87/100], cls_loss: 0.2461, transfer_loss: 0.1385, kl_loss_src: 3789.7491, kl_loss_tar: 3590.9710, total_Loss: 0.3153, acc: 0.9578
Epoch: [88/100], cls_loss: 0.2510, transfer_loss: 0.1412, kl_loss_src: 3865.3531, kl_loss_tar: 3555.9187, total_Loss: 0.3216, acc: 0.9558
Epoch: [89/100], cls_loss: 0.2191, transfer_loss: 0.1375, kl_loss_src: 3858.4756, kl_loss_tar: 3652.5524, total_Loss: 0.2878, acc: 0.9578
Epoch: [90/100], cls_loss: 0.2041, transfer_loss: 0.1387, kl_loss_src: 3841.7723, kl_loss_tar: 3651.4870, total_Loss: 0.2735, acc: 0.9558
Epoch: [91/100], cls_loss: 0.2493, transfer_loss: 0.1356, kl_loss_src: 4001.4892, kl_loss_tar: 3617.7729, total_Loss: 0.3171, acc: 0.9598
Epoch: [92/100], cls_loss: 0.2582, transfer_loss: 0.1376, kl_loss_src: 3849.9435, kl_loss_tar: 3638.0140, total_Loss: 0.3270, acc: 0.9598
Epoch: [93/100], cls_loss: 0.2162, transfer_loss: 0.1343, kl_loss_src: 3965.4927, kl_loss_tar: 3628.9018, total_Loss: 0.2833, acc: 0.9578
Epoch: [94/100], cls_loss: 0.2056, transfer_loss: 0.1327, kl_loss_src: 3927.5505, kl_loss_tar: 3699.8832, total_Loss: 0.2719, acc: 0.9598
Epoch: [95/100], cls_loss: 0.2083, transfer_loss: 0.1320, kl_loss_src: 3964.8486, kl_loss_tar: 3612.6426, total_Loss: 0.2743, acc: 0.9578
Epoch: [96/100], cls_loss: 0.2251, transfer_loss: 0.1309, kl_loss_src: 4029.8614, kl_loss_tar: 3753.4713, total_Loss: 0.2906, acc: 0.9598
Epoch: [97/100], cls_loss: 0.2147, transfer_loss: 0.1329, kl_loss_src: 3983.0435, kl_loss_tar: 3704.7078, total_Loss: 0.2811, acc: 0.9578
Epoch: [98/100], cls_loss: 0.1910, transfer_loss: 0.1294, kl_loss_src: 4033.7322, kl_loss_tar: 3759.1006, total_Loss: 0.2557, acc: 0.9618
Epoch: [99/100], cls_loss: 0.1792, transfer_loss: 0.1299, kl_loss_src: 4004.2818, kl_loss_tar: 3756.2346, total_Loss: 0.2441, acc: 0.9598
